CMEDV,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
13.80000000,11.10810000,0.00000000,18.10000000,0.00000000,0.66800000,4.90600000,100.00000000,1.17420000,24.00000000,666.00000000,20.20000000,396.90000000,34.77000000
36.10000000,0.05515000,33.00000000,2.18000000,0.00000000,0.47200000,7.23600000,41.10000000,4.02200000,7.00000000,222.00000000,18.40000000,393.68000000,6.93000000
19.10000000,15.57570000,0.00000000,18.10000000,0.00000000,0.58000000,5.92600000,71.00000000,2.90840000,24.00000000,666.00000000,20.20000000,368.74000000,18.13000000
27.00000000,1.27346000,0.00000000,19.58000000,1.00000000,0.60500000,6.25000000,92.60000000,1.79840000,5.00000000,403.00000000,14.70000000,338.92000000,5.50000000
26.60000000,0.12744000,0.00000000,6.91000000,0.00000000,0.44800000,6.77000000,2.90000000,5.72090000,3.00000000,233.00000000,17.90000000,385.41000000,4.84000000
15.00000000,19.60910000,0.00000000,18.10000000,0.00000000,0.67100000,7.31300000,97.90000000,1.31630000,24.00000000,666.00000000,20.20000000,396.90000000,13.44000000
23.80000000,0.36920000,0.00000000,9.90000000,0.00000000,0.54400000,6.56700000,87.30000000,3.60230000,4.00000000,304.00000000,18.40000000,395.69000000,9.28000000
25.20000000,0.16211000,20.00000000,6.96000000,0.00000000,0.46400000,6.24000000,16.30000000,4.42900000,3.00000000,223.00000000,18.60000000,396.90000000,6.59000000
21.40000000,0.16902000,0.00000000,25.65000000,0.00000000,0.58100000,5.98600000,88.40000000,1.99290000,2.00000000,188.00000000,19.10000000,385.02000000,14.81000000
24.80000000,0.21409000,22.00000000,5.86000000,0.00000000,0.43100000,6.43800000,8.90000000,7.39670000,7.00000000,330.00000000,19.10000000,377.07000000,3.59000000
22.40000000,0.21719000,0.00000000,10.59000000,1.00000000,0.48900000,5.80700000,53.80000000,3.65260000,4.00000000,277.00000000,18.60000000,390.94000000,16.03000000
8.40000000,13.67810000,0.00000000,18.10000000,0.00000000,0.74000000,5.93500000,87.90000000,1.82060000,24.00000000,666.00000000,20.20000000,68.95000000,34.02000000
16.00000000,0.17171000,25.00000000,5.13000000,0.00000000,0.45300000,5.96600000,93.40000000,6.81850000,8.00000000,284.00000000,19.70000000,378.08000000,14.44000000
16.60000000,0.22927000,0.00000000,6.91000000,0.00000000,0.44800000,6.03000000,85.50000000,5.68940000,3.00000000,233.00000000,17.90000000,392.74000000,18.80000000
31.70000000,0.46296000,0.00000000,6.20000000,0.00000000,0.50400000,7.41200000,76.90000000,3.67150000,8.00000000,307.00000000,17.40000000,376.14000000,5.25000000
21.10000000,0.29916000,20.00000000,6.96000000,0.00000000,0.46400000,5.85600000,42.10000000,4.42900000,3.00000000,223.00000000,18.60000000,388.65000000,13.00000000
11.80000000,2.77974000,0.00000000,19.58000000,0.00000000,0.87100000,4.90300000,97.80000000,1.34590000,5.00000000,403.00000000,14.70000000,396.90000000,29.29000000
21.70000000,0.10793000,0.00000000,8.56000000,0.00000000,0.52000000,6.19500000,54.40000000,2.77780000,5.00000000,384.00000000,20.90000000,393.49000000,13.00000000
18.90000000,0.01360000,75.00000000,4.00000000,0.00000000,0.41000000,5.88800000,47.60000000,7.31970000,3.00000000,469.00000000,21.10000000,396.90000000,14.80000000
21.00000000,1.00245000,0.00000000,8.14000000,0.00000000,0.53800000,6.67400000,87.30000000,4.23900000,4.00000000,307.00000000,21.00000000,380.23000000,11.98000000
15.60000000,2.15505000,0.00000000,19.58000000,0.00000000,0.87100000,5.62800000,100.00000000,1.51660000,5.00000000,403.00000000,14.70000000,169.27000000,16.65000000
11.90000000,20.71620000,0.00000000,18.10000000,0.00000000,0.65900000,4.13800000,100.00000000,1.17810000,24.00000000,666.00000000,20.20000000,370.22000000,23.34000000
23.10000000,0.40202000,0.00000000,9.90000000,0.00000000,0.54400000,6.38200000,67.20000000,3.53250000,4.00000000,304.00000000,18.40000000,395.21000000,10.36000000
